Label Identifying Reader Id,Write Message timestamp,Read Start Timestamp,Read Finish Timestamp
reader1,2021-04-18 01:39:21.786812,2021-04-18 01:39:21.788203,2021-04-18 01:39:21.789275
reader1,2021-04-18 01:39:21.786812,2021-04-18 01:39:21.789291,2021-04-18 01:39:21.790345
reader1,2021-04-18 01:39:21.789439,2021-04-18 01:39:21.790364,2021-04-18 01:39:21.802370
reader1,2021-04-18 01:39:21.794563,2021-04-18 01:39:21.802430,2021-04-18 01:39:21.805925
reader1,2021-04-18 01:39:21.794563,2021-04-18 01:39:21.806019,2021-04-18 01:39:21.809185
reader1,2021-04-18 01:39:21.794563,2021-04-18 01:39:21.809220,2021-04-18 01:39:21.812516
reader1,2021-04-18 01:39:21.809669,2021-04-18 01:39:21.812550,2021-04-18 01:39:21.814657
reader1,2021-04-18 01:39:21.809669,2021-04-18 01:39:21.814677,2021-04-18 01:39:21.816398
reader1,2021-04-18 01:39:21.809669,2021-04-18 01:39:21.816416,2021-04-18 01:39:21.817970
reader1,2021-04-18 01:39:21.816736,2021-04-18 01:39:21.817985,2021-04-18 01:39:21.819436
reader1,2021-04-18 01:39:21.816736,2021-04-18 01:39:21.819455,2021-04-18 01:39:21.820717
reader1,2021-04-18 01:39:21.816736,2021-04-18 01:39:21.820734,2021-04-18 01:39:21.821971
reader1,2021-04-18 01:39:21.821836,2021-04-18 01:39:21.821986,2021-04-18 01:39:21.834106
reader1,2021-04-18 01:39:21.821836,2021-04-18 01:39:21.834129,2021-04-18 01:39:21.835798
reader1,2021-04-18 01:39:21.821836,2021-04-18 01:39:21.835820,2021-04-18 01:39:21.837167
reader1,2021-04-18 01:39:21.821836,2021-04-18 01:39:21.837183,2021-04-18 01:39:21.838798
reader1,2021-04-18 01:39:21.837311,2021-04-18 01:39:21.838822,2021-04-18 01:39:21.840115
reader1,2021-04-18 01:39:21.837311,2021-04-18 01:39:21.840132,2021-04-18 01:39:21.841291
reader1,2021-04-18 01:39:21.837311,2021-04-18 01:39:21.841307,2021-04-18 01:39:21.842329
reader1,2021-04-18 01:39:21.837311,2021-04-18 01:39:21.842344,2021-04-18 01:39:21.843450
reader1,2021-04-18 01:39:21.842474,2021-04-18 01:39:21.843485,2021-04-18 01:39:21.844902
reader1,2021-04-18 01:39:21.842474,2021-04-18 01:39:21.844924,2021-04-18 01:39:21.854350
reader1,2021-04-18 01:39:21.845939,2021-04-18 01:39:21.854370,2021-04-18 01:39:21.867305
reader1,2021-04-18 01:39:21.845939,2021-04-18 01:39:21.867377,2021-04-18 01:39:21.869321
reader1,2021-04-18 01:39:21.845939,2021-04-18 01:39:21.869377,2021-04-18 01:39:21.871120
reader1,2021-04-18 01:39:21.845939,2021-04-18 01:39:21.871241,2021-04-18 01:39:21.873203
